COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CONV_COLL;Convention collective redressée par la Dares;1547;Credit mutuel alsace lorraine personnel nettoyage;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1555;Convention collective nationale de la fabrication et du commerce des produits à usage pharmaceutique, parapharmaceutique et vétérinaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1557;Convention collective nationale du commerce des articles de sports et d'équipements de loisirs;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1557;Convention collective nationale du commerce des articles de sports et d'équipements de loisirs (fusion entre la 1557 et la 1618);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1558;Convention collective nationale relative aux conditions de travail du personnel des industries céramiques de france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1560;Convention collective départementale des industries métallurgiques, électriques et connexes des alpes-maritimes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1561;Convention collective nationale de la cordonnerie multiservice;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1561;Convention collective nationale de la cordonnerie multiservice (annexée à la convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir 2528);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1563;Convention collective des cadres de la presse hebdomadaire régionale d'information;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1563;Convention collective nationale des cadres de la presse hebdomadaire régionale d'information;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1564;Convention collective des industries de la métallurgie de saône-et-loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1564;Convention collective départementale des industries de la métallurgie de saône-et-loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1565;Convention collective des services de soins infirmiers à domicile pour personnes âgées de la guadeloupe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1565;Convention collective départementale des services de soins infirmiers à domicile pour personnes âgées de la guadeloupe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1572;Convention collective départementale de la métallurgie de la charente;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1576;Convention collective de travail des industries métallurgiques, mécaniques, électriques, électroniques, connexes et similaires du département du cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1576;Convention collective départementale de travail des industries métallurgiques, mécaniques, électriques, électroniques, connexes et similaires du département du cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1577;Convention collective des industries métallurgiques, électroniques et connexes de l'hérault, de l'aude et des pyrénées-orientales;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1577;Convention collective régionale des industries métallurgiques, électroniques et connexes de l'hérault, de l'aude et des pyrénées-orientales;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1578;Convention collective départementale de la métallurgie de la loire et de l'arrondissement d'yssingeaux;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1580;Convention collective nationale de l'industrie de la chaussure et des articles chaussants;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1586;Convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1588;Convention collective du personnel des sociétés coopératives d'hlm;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1588;Convention collective nationale du personnel des sociétés coopératives d'hlm (annexée à la convention collective nationale du personnel des offices publics de l'habitat 3220);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1589;Convention collective nationale des mareyeurs-expéditeurs;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1591;Importation charbonniere cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1592;Convention collective de la métallurgie du valenciennois et du cambrésis;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1592;Convention collective locale de la métallurgie du valenciennois et du cambrésis;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1596;Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment visées par le décret du 1er mars 1962 -c'est-à-dire occupant jusqu'à 10 salariés-;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1597;Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret 1er mars 1962 -c'est-à-dire occupant plus de 10 salariés-;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1601;Convention collective nationale de la bourse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1604;Convention collective des industries métallurgiques des arrondissements de rouen et de dieppe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1604;Convention collective locale des industries métallurgiques des arrondissements de rouen et de dieppe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1605;Convention collective nationale des entreprises de désinfection, désinsectisation, dératisation;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1606;Convention collective nationale du bricolage;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1607;Convention collective nationale des industries des jeux, jouets, articles de fêtes et ornements de noël, articles de puériculture et voitures d'enfants modélisme et industries connexes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1611;Convention collective nationale des entreprises de logistique de communication écrite directe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1612;Convention collective nationale du personnel navigant des essais et réceptions;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1614;Commerce de quincaillerie picardie ardennes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1618;Convention collective nationale du camping;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1618;Convention collective nationale du camping (fusion entre la 1557 et la 1618);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1619;Convention collective nationale des cabinets dentaires;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1621;Convention collective nationale de la répartition pharmaceutique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1622;Importation charbonniere  etam;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1624;Convention collective nationale des commerces de gros de la confiserie, chocolaterie, biscuiterie et alimentation fine et des négociants distributeurs de levure;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1626;Convention collective départementale des industries métallurgiques, mécaniques, électriques, électro-céramiques et connexes des hautes-pyrénées;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1627;Convention collective du travail des industries de la métallurgie et des constructions mécaniques de clermont-ferrand et du puy-de-dôme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1627;Convention collective départementale du travail des industries de la métallurgie et des constructions mécaniques de clermont-ferrand et du puy-de-dôme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1628;Convention collective de la métallurgie des deux-sèvres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1628;Convention collective départementale de la métallurgie des deux-sèvres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1629;Presse hebdo et periodique cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1631;Convention collective nationale de l'hôtellerie de plein air;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1634;Convention collective de la métallurgie des côtes-d'armor;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1634;Convention collective départementale de la métallurgie des côtes-d'armor;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1635;Convention collective régionale des industries métallurgiques, mécaniques et connexes de la gironde et des landes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1638;Convention collective du département du cher concernant les ouvriers employés par les entreprises du bâtiment visées par le décret du 1er mars 1962 - c'est-à-dire occupant jusqu'à 10 salariés-;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1642;Convention collective du département du cher concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret du 1er mars 1962 -c'est-à-dire occupant plus de 10 salariés-;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1659;Convention collective nationale du rouissage teillage du lin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1668;Convention collective des ouvriers du bâtiment de la région alsace;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1671;Convention collective nationale des maisons d'étudiants;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1672;Convention collective nationale des sociétés d'assurances;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1679;Convention collective nationale de l'inspection d'assurance;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1686;Convention collective nationale des commerces et services de l'audiovisuel, de l'électronique et de l'équipement ménager;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1689;Fabriques d articles de papeterie et de bureau;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1700;Convention collective départementale des sucreries, sucreries-distilleries et distilleries de la guadeloupe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1702;Convention collective nationale des ouvriers de travaux publics;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1710;Convention collective nationale du personnel des agences de voyages et de tourisme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1722;Convention collective des ouvriers du bâtiment de la région de haute-normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1726;Economistes construction metreurs verificateurs;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1732;Convention collective des industries métallurgiques, mécaniques, électriques et connexes de l'yonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1732;Convention collective départementale des industries métallurgiques, mécaniques, électriques et connexes de l'yonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1734;Convention collective des artistes-interprètes engagés pour des émissions de télévision;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1734;Convention collective des artistes-interprètes engagés pour des émissions de télévision (annexée à la convention collective de la production audiovisuelle 2642);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1740;Convention collective régionale des ouvriers du bâtiment de la région parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1747;Convention collective des activités industrielles de boulangerie et de pâtisserie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1747;Convention collective nationale des activités industrielles de boulangerie et de pâtisserie (fusion entre la 1747 et la 2075);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1750;Manutention port. marseille serv auxil. employes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1751;Manutention port. marseille serv. auxil. cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1758;Convention collective du bâtiment du département du tarn concernant les ouvriers employés par les entreprises occupant jusqu'à 10 salariés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1759;Convention collective du bâtiment du département du tarn concernant les ouvriers employés par les entreprises occupant plus de 10 salariés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1760;Convention collective nationale des jardineries et graineteries;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1761;Convention collective du commerce de gros des tissus, tapis et linge de maison;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1763;Manutention portuaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1779;Convention collective du bâtiment de la région provence-alpes-côte d'azur concernant les ouvriers employés par les entreprises occupant jusqu'à 10 salariés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1780;Convention collective du bâtiment de la région provence-alpes-côte d'azur concernant les ouvriers employés par les entreprises occupant plus de 10 salariés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1785;Convention collective régionale des ouvriers du bâtiment de la région basse-normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1790;Convention collective nationale des espaces de loisirs, d'attractions et culturels;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1794;Convention collective nationale du personnel des institutions de retraites complémentaires;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1800;Convention collective nationale du personnel de la céramique d'art;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1800;Convention collective nationale du personnel de la céramique d'art (annexée à la convention collective nationale relative aux conditions de travail du personnel des industries céramiques de france 1558);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1801;Convention collective nationale des sociétés d'assistance;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1809;Convention collective des industries métallurgiques, mécaniques, similaires et connexes du jura;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1810;Entreprises de proprete;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1813;Convention collective de travail des industries de la transformation des métaux de la région de maubeuge;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1813;Convention collective locale de travail des industries de la transformation des métaux de la région de maubeuge;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1821;Convention collective nationale de la fabrication du verre à la main semi-automatique et mixte;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1821;Convention collective nationale des professions regroupées du cristal, du verre et du vitrail;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1843;Convention collective régionale des ingénieurs, assimilés et cadres du bâtiment de la région parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1850;Convention collective de l'avocat salarié;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1850;Convention collective nationale de l'avocat salarié;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1867;Convention collective de la métallurgie de la drôme-ardèche;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1867;Convention collective régionale de la métallurgie de la drôme-ardèche;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1871;Convention collective nationale des employés de la presse d'information spécialisée du 1er juillet 1995;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1874;Convention collective nationale des cadres, techniciens et agents de maîtrise de la presse d'information spécialisée du 1er juillet 1995;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1875;Convention collective nationale des cabinets et cliniques vétérinaires : personnel salarié;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1876;Batiment bretagne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1880;Convention collective nationale du négoce de l'ameublement;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1885;Convention collective des industries métallurgiques, mécaniques, électriques et connexes du département de la côte-d'or;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1885;Convention collective départementale des industries métallurgiques, mécaniques, électriques et connexes du département de la côte-d'or;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1886;Convention collective départementale des ouvriers du bâtiment de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1888;Convention collective départementale des ouvriers des travaux publics de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1895;Convention collective de l'encadrement de la presse quotidienne régionale;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1895;Convention collective nationale de l'encadrement de la presse quotidienne régionale;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1902;Convention collective des industries métallurgiques, mécaniques, électriques, électroniques connexes et similaires du maine-et-loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1902;Convention collective départementale des industries métallurgiques, mécaniques, électriques, électroniques connexes et similaires du maine-et-loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1903;Convention collective du personnel d'encadrement des agences de presse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1909;Convention collective nationale des organismes de tourisme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1911;Convention collective de travail du groupement national interprofessionnel des semences graines et plants;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1912;Convention collective des industries de la métallurgie du haut-rhin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1912;Convention collective départementale des industries de la métallurgie du haut-rhin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1921;Convention collective nationale des huissiers de justice;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1922;Convention collective nationale de la radiodiffusion;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1923;Convention collective de la manutention portuaire de guadeloupe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1923;Convention collective départementale de la manutention portuaire de la guadeloupe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1930;Convention collective nationale de la meunerie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1930;Convention collective nationale des métiers de la transformation des grains (ex meunerie);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1938;Convention collective nationale des industries de la transformation des volailles (abattoirs, ateliers de découpe et centres de conditionnement de volailles, commerce de gros de volailles);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1942;Convention collective nationale de l'industrie de production des textiles artificiels et synthétiques et produits assimilés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1942;Convention collective nationale de l'industrie de production des textiles artificiels et synthétiques et produits assimilés (annexée à la convention collective nationale de l’industrie textile 0018);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1944;Convention collective nationale du personnel navigant technique des exploitants d'hélicoptères;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1945;Convention collective nationale du vitrail;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1947;Convention collective nationale du négoce de bois d'œuvre et produits dérivés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1951;Convention collective nationale des cabinets ou entreprises d'expertises en automobile;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1960;Convention collective des industries métallurgiques, mécaniques et connexes du lot-et-garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1960;Convention collective départementale des industries métallurgiques, mécaniques et connexes du lot-et-garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1961;Convention collective pour les stations-service en guadeloupe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1961;Convention collective départementale pour les stations-service en guadeloupe;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1966;Convention collective des industries métallurgiques du loiret;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1966;Convention collective départementale des industries métallurgiques du loiret;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1967;Convention collective départementale de l'industrie des métaux du bas-rhin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1970;Convention collective des commerces de détail non alimentaires des départements du bas-rhin et du haut-rhin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1972;Presse magazine et information non cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1974;Convention collective nationale du personnel des entreprises de transport de passagers en navigation intérieure;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1978;Convention collective nationale des fleuristes, de la vente et des services des animaux familiers;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1979;Convention collective nationale des hôtels, cafés, restaurants (hcr);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1980;Convention collective des commissionnaires en douane et agents auxiliaires de la martinique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1980;Convention collective départementale des commissionnaires en douane et agents auxiliaires de la martinique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1982;Convention collective nationale du négoce et prestations de services dans les domaines médico-techniques;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1987;Convention collective nationale des pâtes alimentaires sèches et du couscous non préparé;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1991;Polyculture convention collective des industries de la blanchisserie, de la teinturerie et du nettoyage à sec d'alsace;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;1996;Convention collective nationale de la pharmacie d'officine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2002;Convention collective interrégionale de la blanchisserie, laverie, location de linge, nettoyage à sec, pressing et teinturerie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2003;Convention collective des industries métallurgiques, électriques, électroniques et connexes du département des vosges;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2003;Convention collective départementale des industries métallurgiques, électriques, électroniques et connexes du département des vosges;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2014;Convention collective nationale de travail des employés des agences de presse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2018;Presse magazine et d information cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2021;Convention collective nationale du golf;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2022;Enseignement musical choregraphique rhone alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2025;Convention collective régionale du travail des activités minières de guyane;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2032;Convention collective du département de l'isère concernant les ouvriers employés par les entreprises du bâtiment occupant jusqu'à 10 salariés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2033;Convention collective du département de l'isère concernant les ouvriers employés par les entreprises du bâtiment occupant plus de 10 salariés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2034;Convention collective du département de l'isère concernant les ouvriers employés par les entreprises de travaux publics;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2046;Convention collective nationale du personnel non médical des centres de lutte contre le cancer;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2060;Convention collective nationale des chaînes de cafétérias et assimilés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2070;Convention collective relative au statut des personnels des organismes de développement économique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2075;Convention collective nationale des centres immatriculés de conditionnement, de commercialisation et de transformation des œufs et des industries en produits d'œufs;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2075;Convention collective nationale des centres immatriculés de conditionnement, de commercialisation et de transformation des œufs et des industries en produits d'œufs (fusion entre la 1747 et la 2075);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2089;Convention collective nationale de l'industrie des panneaux à base de bois;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2098;Convention collective nationale du personnel des prestataires de services dans le domaine du secteur tertiaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2101;Convention collective nationale de l'enseignement privé à distance;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2104;Convention collective nationale du thermalisme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2104;Convention collective nationale du thermalisme (fusion entre la 2264 et la 2104);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2108;Boulangerie patisserie seine maritime;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2111;Convention collective nationale des salariés du particulier employeur;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2120;Convention collective de la banque;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2120;Convention collective nationale de la banque;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2121;Convention collective nationale de l'édition;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2126;Convention collective de la métallurgie du gard et de la lozère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2126;Convention collective régionale de la métallurgie du gard et de la lozère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2128;Convention collective nationale de la mutualité;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2132;Regies de quartier;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2145;Convention collective régionale des ouvriers du bâtiment de la région corse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2147;Convention collective des entreprises des services d'eau et d'assainissement (entreprises en gérance, en concession ou en affermage assurent l'exploitation, le service, le pompage, le traitement et la distribution d'eau à usage public, particulier, domestique, agricole);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2147;Convention collective nationale des entreprises des services d'eau et d'assainissement (entreprises en gérance, en concession ou en affermage assurent l'exploitation, le service, le pompage, le traitement et la distribution d'eau à usage public, particulier, domestique, agricole);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2148;Convention collective nationale des télécommunications;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2149;Convention collective nationale des activités du déchet;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2150;Convention collective nationale des personnels des sociétés anonymes et fondations d'hlm;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2152;Convention collective nationale de travail du personnel enseignant et formateur des centres de formation continue et des centres de formation d'apprentis, des sections d'apprentissage et des unités de formation par apprentissage intégrés à un établissement technique privé(cfa);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2156;Convention collective nationale des grands magasins et des magasins populaires;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2162;Professions de la photographie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2174;Convention collective nationale du personnel sédentaire des entreprises de transports de marchandises de la navigation intérieure;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2190;Convention collective nationale des missions locales et paio des maisons de l'emploi et plie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2194;Convention collective régionale des ouvriers employés par les entreprises du bâtiment occupant jusqu'à 10 salariés, région aquitaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2195;Convention collective régionale des ouvriers employés par les entreprises du bâtiment occupant plus de 10 salariés, région aquitaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2198;Convention collective nationale des entreprises de vente à distance;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2205;Convention collective du notariat;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2205;Convention collective nationale du notariat;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2216;Convention collective nationale du commerce de détail et de gros à prédominance alimentaire (entrepôts d'alimentation, supérettes, supermarchés, hypermarchés, grande distribution);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2219;Convention collective des taxis parisiens salariés;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2219;Convention collective nationale des taxis;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2221;Convention collective des mensuels des industries des métaux de l'isère et des hautes-alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2221;Convention collective régionale des mensuels des industries des métaux de l'isère et des hautes-alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2230;Convention collective nationale des associations agréées de surveillance de la qualité de l'air;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2230;Convention collective nationale des associations agréées de surveillance de la qualité de l'air (annexée à la convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils 1486);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2247;Convention collective des entreprises de courtage d'assurances et/ou de réassurances;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2247;Convention collective nationale des entreprises de courtage d'assurances et/ou de réassurances;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2250;Convention collective régionale de la boulangerie-pâtisserie de la guyane;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2257;Convention collective nationale des casinos;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2264;Convention collective de l'hospitalisation privée (ccu, fhp, établissements pour personnes âgées, maison de retraite, établissements de suite et réadaptation, médicaux pour enfants et adolescents, uhp, sanitaires sociaux et médico-sociaux crrr, hospitalisation privé à but lucratif fiehp );CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2264;Convention collective nationalede l'hospitalisation privée (ccu, fhp, établissements pour personnes âgées, maison de retraite, établissements de suite et réadaptation, médicaux pour enfants et adolescents, uhp, sanitaires sociaux et médico-sociaux crrr, hospitalisation privé à but lucratif fiehp ) (fusion entre la 2264 et la 2104);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2266;Convention collective des industries métallurgiques, mécaniques, électriques, connexes et similaires de la mayenne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2266;Convention collective départementale des industries métallurgiques, mécaniques, électriques, connexes et similaires de la mayenne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2267;Convention collective des ouvriers du bâtiment de la région languedoc-roussillon;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2270;Convention collective nationale des universités et instituts catholiques de france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2272;Convention collective nationale de l'assainissement et de la maintenance industrielle;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2281;Convention collective des chefs d'établissement directeurs d'école de l'enseignement catholique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;2294;Convention collective des industries et métiers de la métallurgie de l'aube;CHAR;4
