COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
A38;Nomenclature agrégée A38;JC;Activités informatiques et services d'information;CHAR;2
A38;Nomenclature agrégée A38;KZ;Activités financières et d'assurance;CHAR;2
A38;Nomenclature agrégée A38;LZ;Activités immobilières;CHAR;2
A38;Nomenclature agrégée A38;MA;Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques;CHAR;2
A38;Nomenclature agrégée A38;MB;Recherche-développement scientifique;CHAR;2
A38;Nomenclature agrégée A38;MC;Autres activités spécialisées, scientifiques et techniques;CHAR;2
A38;Nomenclature agrégée A38;NZ;Activités de services administratifs et de soutien;CHAR;2
A38;Nomenclature agrégée A38;OZ;Administration publique;CHAR;2
A38;Nomenclature agrégée A38;PZ;Enseignement;CHAR;2
A38;Nomenclature agrégée A38;QA;Activités pour la santé humaine;CHAR;2
A38;Nomenclature agrégée A38;QB;Hébergement médico-social et social et action sociale sans hébergement;CHAR;2
A38;Nomenclature agrégée A38;RZ;Arts, spectacles et activités récréatives;CHAR;2
A38;Nomenclature agrégée A38;SZ;Autres activités de services;CHAR;2
A38;Nomenclature agrégée A38;TZ;Activités des ménages en tant qu'employeurs , activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;CHAR;2
AGE;Age du salarié;;;NUM;3
CONV_COLL;Convention collective redressée par la Dares;;Non renseigné;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0002;Industries textiles de l aube;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0003;Convention collective des ouvriers de la navigation intérieure de marchandises;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0004;Commerce seine maritime havre detail non alim.;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0005;Commerce indre detail non alimentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0007;Convention collective départementale de l'industrie du bâtiment et des travaux publics du rhône;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0011;Ports autonomes maritimes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0016;Convention collective nationale des transports routiers et activités auxiliaires du transport;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0018;Convention collective nationale des industries textiles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0023;Navigation personnel sedentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0024;Commerce nievre nevers detail non alimentaire;CHAR;4
